Artemis,ID,ID,ID,,,Line,,Notes by AR,Notes by DK
Darren,Artemis_,0062,Artemis_0062,,,"What, for me, you want to trade or something, let's see what I've got in that case, here!",,,
Darren,Artemis_,0064,Artemis_0064,,,"I thought maybe you'd get me something else, and this time you won't catch me by surprise. I got something for you as well, so, here.",,,
Integrated,Artemis_,0067,Artemis_0067,,,Nowhere to hide from me!,,,
Integrated,Artemis_,0068,Artemis_0068,,,Picked up their scent!,,,
Integrated,Artemis_,0069,Artemis_0069,,,I'll take care of this!,,,
Integrated,Artemis_,0073,Artemis_0073,,,"How goes it, Zagreus?",,,
Integrated,Artemis_,0074,Artemis_0074,,,Hey it's me again.,,,
Integrated,Artemis_,0075,Artemis_0075,,,Care to hunt with me?,,,
Integrated,Artemis_,0076,Artemis_0076,,,Glad you're still in one piece.,,,
Integrated,Artemis_,0077,Artemis_0077,,,Oh hi remember me?,,,
Integrated,Artemis_,0078,Artemis_0078,,,You got it.,,,
Integrated,Artemis_,0079,Artemis_0079,,,Understood.,,,
Darren,Artemis_,0080,Artemis_0080,,,Sure thing.,,,
Darren,Artemis_,0081,Artemis_0081,,,I can do that.,,,
Darren,Artemis_,0082,Artemis_0082,,,Don't see why not.,,,
Integrated,Artemis_,0083,Artemis_0083,,,Hey thanks!,,,
Integrated,Artemis_,0084,Artemis_0084,,,You're very kind.,,,
Integrated,Artemis_,0085,Artemis_0085,,,I'm grateful.,,,
Integrated,Artemis_,0086,Artemis_0086,,,Thank you for this.,,,
Integrated,Artemis_,0087,Artemis_0087,,,Bless you Zagreus.,,,
Integrated,Artemis_,0088,Artemis_0088,,,I won't forget this.,,,
Integrated,Artemis_,0089,Artemis_0089,,,How nice of you.,,,
Integrated,Artemis_,0090,Artemis_0090,,,Now here's something for you.,,,
Darren,Artemis_,0091,Artemis_0091,,,Here's something in return.,,,
Darren,Artemis_,0092,Artemis_0092,,,I want you to have this.,,,
Darren,Artemis_,0093,Artemis_0093,,,A little gift from me.,,,
Darren,Artemis_,0094,Artemis_0094,,,You've earned my blessing.,,,
Darren,Artemis_,0095,Artemis_0095,,,Such a shame.,,,
Darren,Artemis_,0096,Artemis_0096,,,That's disappointing.,,,
Darren,Artemis_,0097,Artemis_0097,,,Pretty careless there.,,,
Darren,Artemis_,0098,Artemis_0098,,,That's a mistake.,,,
Darren,Artemis_,0099,Artemis_0099,,,Shouldn't've done that.,,,
Darren,Artemis_,0100,Artemis_0100,,,Bad choice.,,,
Integrated,Artemis_,0101,Artemis_0101,,,How dare you.,,,
Darren,Artemis_,0102,Artemis_0102,,,"Why, you...!",,,
Darren,Artemis_,0103,Artemis_0103,,,"You, ugh...!",,,
Integrated,Artemis_,0104,Artemis_0104,,,What is the matter with you.,,,
Integrated,Artemis_,0105,Artemis_0105,,,What are you doing?,,,
Integrated,Artemis_,0106,Artemis_0106,,,I can't believe this.,,,
Integrated,Artemis_,0107,Artemis_0107,,,Is this some sort of joke?,,,
Darren,Artemis_,0108,Artemis_0108,,,Don't bother me right now.,,,
Darren,Artemis_,0110,Artemis_0110,,,I'd like to be alone?,,,
Darren,Artemis_,0111,Artemis_0111,,,I can't believe this...!,,,
Darren,Artemis_,0112,Artemis_0112,,,This really happening?,,,
Integrated,Artemis_,0113,Artemis_0113,,,"Huh, really...",,,
Darren,Artemis_,0114,Artemis_0114,,,Not what I expected...,,,
Darren,Artemis_,0115,Artemis_0115,,,"What, I...?",,,
Darren,Artemis_,0116,Artemis_0116,,,Not bad at all.,,,
Darren,Artemis_,0117,Artemis_0117,,,Hey nicely done.,,,
Darren,Artemis_,0118,Artemis_0118,,,That's pretty good.,,,
Darren,Artemis_,0119,Artemis_0119,,,"Hm, I'm impressed.",,,
Darren,Artemis_,0120,Artemis_0120,,,You know what you're doing.,,,
Integrated,Artemis_,0172,Artemis_0172,,,"You chose correctly, Zagreus!",,,
Integrated,Artemis_,0173,Artemis_0173,,,Right on the mark!,,,
Integrated,Artemis_,0174,Artemis_0174,,,"Not much of a choice, admittedly!",,,
Integrated,Artemis_,0175,Artemis_0175,,,I'd say you made the right decision there!,,,
Integrated,Artemis_,0176,Artemis_0176,,,"Uh-oh, somebody's going to be upset!",,,
Integrated,Artemis_,0177,Artemis_0177,,,"Ah good, you didn't make me mad this time!",,,
Integrated,Artemis_,0178,Artemis_0178,,,I have them in my sights!,,,
Integrated,Artemis_,0179,Artemis_0179,,,"I hear you, firing!",,,
Integrated,Artemis_,0180,Artemis_0180,,,They are as good as dead!,,,
Integrated,Artemis_,0181,Artemis_0181,,,"All right, taking the shot!",,,
Integrated,Artemis_,0182,Artemis_0182,,,"Sure, I don't see why not!",,,
Integrated,Artemis_,0183,Artemis_0183,,,"Oh let me get right on it, Zagreus!",,,
Integrated,Artemis_,0184,Artemis_0184,,,Pray I don't accidentally miss my mark!,,,
Integrated,Artemis_,0199,Artemis_0199,,,"You may be good at running, Zagreus, but you're bad at hiding.",,,
Integrated,Artemis_,0200,Artemis_0200,,,"You make me mad, I'll hunt you like a stag. You heard of those?",,,
Integrated,Artemis_,0201,Artemis_0201,,,"Don't anger me next time, won't shoot you dead, is it a deal?",,,
