Demeter,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Darren,Demeter_,84,Demeter_0084,,,,"The Horn of Plenty which you bear once overflowed. It holds a certain power still, of course. But never again shall mortalkind take it for granted.",,,
Integrated,Demeter_,123,Demeter_0123,,,,Beware of winter's cold!,,,
Integrated,Demeter_,124,Demeter_0124,,,,A wasteland void of life!,,,Special Render
Integrated,Demeter_,125,Demeter_0125,,,,All shall soon decay!,,,Special Render
Integrated,Demeter_,126,Demeter_0126,,,,Freeze to death!,,,Special Render
Integrated,Demeter_,127,Demeter_0127,,,,I shall take everything away!,,,Special Render
Integrated,Demeter_,128,Demeter_0128,,,,They shall have nothing!,,,Special Render
Integrated,Demeter_,129,Demeter_0129,,,,No comfort from the bitter cold!,,,Special Render
Integrated,Demeter_,130,Demeter_0130,,,,You beg my favor now?!,,,Special Render
Integrated,Demeter_,131,Demeter_0131,,,,The limitless audacity of youth!,,,Special Render
Integrated,Demeter_,132,Demeter_0132,,,,"Shiver and rot, for all I care!",,,Special Render
Integrated,Demeter_,133,Demeter_0133,,,,I have no tolerance for disrespect.,,,
Integrated,Demeter_,134,Demeter_0134,,,,"I warned you not to side against me, little sprout.",,,
Integrated,Demeter_,135,Demeter_0135,,,,"Respect your elders next time, Zagreus.",,,
Darren,Demeter_,136,Demeter_0136,,,,"Why, it appears you wield Varatha's form known as the Frost Fair Blade! So then it's travelled that much farther than I thought. Make swift use of its power, Zagreus; it may soon leave you as the seasons do.",,,
Integrated,Demeter_,163,Demeter_0163,,,,"My greetings to you, little sprout.",,,
Integrated,Demeter_,164,Demeter_0164,,,,"I greet you, Zagreus.",,,
Integrated,Demeter_,165,Demeter_0165,,,,"Hello, young Zagreus.",,,
Darren,Demeter_,166,Demeter_0166,,,,"You staying warm of late, young Zagreus?",,,
Integrated,Demeter_,167,Demeter_0167,,,,"A winter's greeting to you, Zagreus.",,,
Darren,Demeter_,168,Demeter_0168,,,,It shall be so.,,,
Darren,Demeter_,169,Demeter_0169,,,,"That's not a problem, little sprout.",,,
Darren,Demeter_,170,Demeter_0170,,,,Oh very well.,,,
Integrated,Demeter_,171,Demeter_0171,,,,"Ah yes, indeed.",,,
Darren,Demeter_,172,Demeter_0172,,,,"Then, very well.",,,
Integrated,Demeter_,173,Demeter_0173,,,,"I'm grateful, Zagreus.",,,
Integrated,Demeter_,174,Demeter_0174,,,,You have my gratitude.,,,
Integrated,Demeter_,175,Demeter_0175,,,,"How thoughtful, Zagreus.",,,
Integrated,Demeter_,176,Demeter_0176,,,,"Why thank you, little sprout.",,,
Darren,Demeter_,177,Demeter_0177,,,,"I've something for you, little sprout.",,,
Darren,Demeter_,178,Demeter_0178,,,,"I have a gift for you, young Zagreus.",,,
Darren,Demeter_,179,Demeter_0179,,,,A simple oversight is all it was.,,,
Darren,Demeter_,180,Demeter_0180,,,,"That was most certainly in error, Zagreus.",,,
Darren,Demeter_,181,Demeter_0181,,,,"Poor judgment, little sprout.",,,
Darren,Demeter_,182,Demeter_0182,,,,"You oughtn't test my patience, little sprout.",,,
Darren,Demeter_,183,Demeter_0183,,,,That was an eminently foolish choice.,,,
Darren,Demeter_,184,Demeter_0184,,,,So now you've angered me.,,,
Darren,Demeter_,185,Demeter_0185,,,,"Begone, young Zagreus.",,,
Darren,Demeter_,186,Demeter_0186,,,,"Not interested, little sprout.",,,
Integrated,Demeter_,187,Demeter_0187,,,,What's this?,,,
Darren,Demeter_,188,Demeter_0188,,,,I scarce believe this.,,,
Integrated,Demeter_,189,Demeter_0189,,,,Oh truly?,,,
Integrated,Demeter_,190,Demeter_0190,,,,"Well done, my little sprout.",,,
Darren,Demeter_,191,Demeter_0191,,,,"I'm very proud of you, young Zagreus.",,,
Darren,Demeter_,192,Demeter_0192,,,,This cannot be.,,,
Darren,Demeter_,193,Demeter_0193,,,,"How, what is going on?",,,
Darren,Demeter_,194,Demeter_0194,,,,"I'm speechless, Zagreus!",,,
Darren,Demeter_,195,Demeter_0195,,,,,,,
Integrated,Demeter_,196,Demeter_0196,,,,,,,
Integrated,Demeter_,197,Demeter_0197,,,,,,,
Integrated,Demeter_,198,Demeter_0198,,,,,,,
Integrated,Demeter_,199,Demeter_0199,,,,,,,
Darren,Demeter_,200,Demeter_0200,,,,,,,
Integrated,Demeter_,201,Demeter_0201,,,,,,,
Integrated,Demeter_,202,Demeter_0202,,,,,,,
Integrated,Demeter_,203,Demeter_0203,,,,,,,
Integrated,Demeter_,204,Demeter_0204,,,,,,,
Integrated,Demeter_,205,Demeter_0205,,,,,,,
Integrated,Demeter_,206,Demeter_0206,,,,,,,
Integrated,Demeter_,207,Demeter_0207,,,,,,,
