Hades,ID,ID,ID,,,,Line,,,Notes by DK
Integrated,Hades_,0002,Hades_0002,,,,Stupid boy. I told you you'd be back. And how was your wanton ransacking of my domain?,,,
Integrated,Hades_,0003,Hades_0003,,,,"To suffer such indignity, from my own kin. Such foolishness as yours I scarce can comprehend, but you, boy! You've made foolishness an art.",,,
To Be Integrated,Hades_,0007,Hades_0007,,,,"Quite an accomplishment, there, boy, now leave me be. Ten thousands souls in Tartarus today. A bloody war! And not a lot of bloody help.",,,
Unused,Hades_,0011,Hades_0011,,,,"Almost as though my realm is built to keep you here. You, and every single soul that's ever lived. But, by all means, keep running from yourself.",,,
Unused,Hades_,0028,Hades_0028,,,,Begone from here.,,,
Unused,Hades_,0029,Hades_0029,,,,Leave me be.,,,
Unused,Hades_,0030,Hades_0030,,,,I've nothing left to say to you.,,,
Unused,Hades_,0031,Hades_0031,,,,Out of my sight.,,,
Unused,Hades_,0032,Hades_0032,,,,"Not interested, boy.",,,
Unused,Hades_,0033,Hades_0033,,,,Our conversation's well and truly done.,,,
Unused,Hades_,0034,Hades_0034,,,,I told you not to speak to me.,,,
Unused,Hades_,0035,Hades_0035,,,,Be on your way already.,,,
Unused,Hades_,0036,Hades_0036,,,,Not now.,,,
Unused,Hades_,0037,Hades_0037,,,,"Out with you, I said.",,,
Unused,Hades_,0038,Hades_0038,,,,"I'm busy, out with you.",,,
Unused,Hades_,0039,Hades_0039,,,,"Enough, I've work to do.",,,
Integrated,Hades_,0040,Hades_0040,,,,"That's well off limits, boy.",,,
Integrated,Hades_,0041,Hades_0041,,,,Do not so much as think about it.,,,
Integrated,Hades_,0042,Hades_0042,,,,Turn yourself around.,,,
Integrated,Hades_,0043,Hades_0043,,,,"I do not think so, boy.",,,
Integrated,Hades_,0044,Hades_0044,,,,Cease with your endless snooping.,,,
Integrated,Hades_,0045,Hades_0045,,,,"Keep out of there, I said.",,,
Integrated,Hades_,0046,Hades_0046,,,,You stay away from there.,,,
Integrated,Hades_,0047,Hades_0047,,,,Quit meddling back there.,,,
Integrated,Hades_,0048,Hades_0048,,,,Stay out of there.,,,
Integrated,Hades_,0049,Hades_0049,,,,"Piss off, boy.",,,
Integrated,Hades_,0050,Hades_0050,,,,Pathetic.,,,
Integrated,Hades_,0051,Hades_0051,,,,Useless.,,,
Integrated,Hades_,0052,Hades_0052,,,,Not a chance.,,,
Integrated,Hades_,0053,Hades_0053,,,,That almost tickled.,,,
Integrated,Hades_,0054,Hades_0054,,,,Was that supposed to be some sort of joke?,,,
Integrated,Hades_,0055,Hades_0055,,,,What is it that you're trying now to do?,,,
Unused,Hades_,0056,Hades_0056,,,,"Bugger off already, boy.",,,
Integrated,Hades_,0057,Hades_0057,,,,"You truly are an idiot, aren't you.",,,
Integrated,Hades_,0058,Hades_0058,,,,"To suffer such indignity, from my own kin.",,,
Integrated,Hades_,0059,Hades_0059,,,,A pitiful attempt.,,,
Integrated,Hades_,0060,Hades_0060,,,,Don't make me laugh.,,,
Integrated,Hades_,0061,Hades_0061,,,,"Death is inescapable. If you think otherwise... why, then, don't let me stop you.",,,
Integrated,Hades_,0062,Hades_0062,,,,"Family? Death is your only family. Death, and I. Best get accustomed to the both of us.",,,
Integrated,Hades_,0063,Hades_0063,,,,"Nobody gets out of here, boy, whether alive or dead. You think I jest? You think I haven't tried?!",,,
Integrated,Hades_,0064,Hades_0064,,,,"That dog is not your plaything, boy! Cerberus defends our realm so that no-one gets in alive, or gets out either way.",,,
Integrated,Hades_,0065,Hades_0065,,,,"You are a weakling, boy! Disgraceful!! Now, strike again, and make it hurt, this time!",,,
Integrated,Hades_,0066,Hades_0066,,,,"Watch where you step, you oaf! My House is not a sty through which to track your filth!",,,
Integrated,Hades_,0067,Hades_0067,,,,"A mortal's life is short, and fraught with pain; is that truly the life you yearn for, boy?",,,
Integrated,Hades_,0068,Hades_0068,,,,"What have I wrought, that such a witless, careless brat would be my progeny?",,,
Integrated,Hades_,0069,Hades_0069,,,,"The fear of death keeps mortals well in check. You'd best learn to fear something yourself, you hear me, boy?",,,
Integrated,Hades_,0070,Hades_0070,,,,"How dare you, boy! Learn well to shut that foolish mouth of yours, or I shall shut it for you!",,,
Greg,Hades_,0071,Hades_0071,,,,"Blast you, brother Zeus, and you as well, Poseidon, both of you, you mis'rable ungrateful wretches. You, and all your pig-faced children, and your concubines, all there with you, all gaily celebrating every waking moment there upon your mountain, while I alone, alone! remain at work, here, tending to the blasted remnants of those mortals whom you send to me in droves, in DROVES, without regard, without so much as reaching out to me from, time to time, to check upon your oft-forgotten brother? With whom you sealed those blasted Titans underneath this realm, so that you could consort without concern, as now you do?! That such a fate as this would have been wrought for me, by those three cursed hags, or by the two of you, I swear, I swear...! And do not get me started on that damned ungrateful little runt now tending to his hopeless undertaking at my own expense, brazen little bastard that he is. His mother would be oh so very proud, so very proud, no doubt, to see him violating my domain, my home, my rules! The boy, he's even got into the dog's damned heads with his damnable notions, certainly his mother's guiles, plainly on display. Those fools upon Olympus, all abetting his inglorious attempts to give up everything he has, to give up everything I ever gave him!",,,
Integrated,Hades_,0072,Hades_0072,,,,<Laughter>,,,
Integrated,Hades_,0073,Hades_0073,,,,<Laughter>,,,
Integrated,Hades_,0074,Hades_0074,,,,<Laughter>,,,
Integrated,Hades_,0075,Hades_0075,,,,<Laughter>,,,
Integrated,Hades_,0076,Hades_0076,,,,<Laughter>,,,
Integrated,Hades_,0077,Hades_0077,,,,<Sigh>,,,
Integrated,Hades_,0078,Hades_0078,,,,<Groan>,,,
Integrated,Hades_,0079,Hades_0079,,,,<Scoffing>,,,
Integrated,Hades_,0080,Hades_0080,,,,Unnngghhh...,,,
Integrated,Hades_,0081,Hades_0081,,,,Urrnnggghhh....,,,
Integrated,Hades_,0082,Hades_0082,,,,"Back again, hm?",,,
Integrated,Hades_,0083,Hades_0083,,,,"<Tsk, tsk, tsk, tsk> Too bad, boy.",,,
Integrated,Hades_,0084,Hades_0084,,,,Hrrnn?,,,
Integrated,Hades_,0085,Hades_0085,,,,Euugghh...,,,
Unused,Hades_,0086,Hades_0086,,,,<Snoring>,,,
Integrated,Hades_,0087,Hades_0087,,,,Back already?,,,
Integrated,Hades_,0096,Hades_0096,,,,Who dares?,,,
Integrated,Hades_,0097,Hades_0097,,,,You dare?,,,
Integrated,Hades_,0098,Hades_0098,,,,Thief!,,,
Integrated,Hades_,0099,Hades_0099,,,,Interloper!,,,
Integrated,Hades_,0100,Hades_0100,,,,You shall pay for that!,,,
Integrated,Hades_,0101,Hades_0101,,,,You shall regret this.,,,
Integrated,Hades_,0102,Hades_0102,,,,That is private property.,,,
Integrated,Hades_,0103,Hades_0103,,,,We have an intruder.,,,
Integrated,Hades_,0104,Hades_0104,,,,Trespasser!,,,
Integrated,Hades_,0105,Hades_0105,,,,Transgressions are not tolerated.,,,
Integrated,Hades_,0106,Hades_0106,,,,Consider this a warning.,,,
Integrated,Hades_,0107,Hades_0107,,,,We have a pest problem.,,,
Integrated,Hades_,0108,Hades_0108,,,,Ahem.,,,
Integrated,Hades_,0109,Hades_0109,,,,Ahem?,,,
Integrated,Hades_,0110,Hades_0110,,,,Forget something again?,,,
Integrated,Hades_,0111,Hades_0111,,,,Such a shame.,,,
Integrated,Hades_,0112,Hades_0112,,,,For shame.,,,
Integrated,Hades_,0113,Hades_0113,,,,Disgraceful.,,,
Integrated,Hades_,0114,Hades_0114,,,,Had enough yet?,,,
Integrated,Hades_,0115,Hades_0115,,,,"Ah, tough luck.",,,
Integrated,Hades_,0116,Hades_0116,,,,Didn't hear you come in.,,,
Integrated,Hades_,0117,Hades_0117,,,,Psh.,,,
Integrated,Hades_,0118,Hades_0118,,,,You.,,,
Integrated,Hades_,0119,Hades_0119,,,,You again.,,,
Integrated,Hades_,0120,Hades_0120,,,,"Pardon the interruption, everyone.",,,
Integrated,Hades_,0121,Hades_0121,,,,You never learn.,,,
Integrated,Hades_,0122,Hades_0122,,,,Look who's back.,,,
Integrated,Hades_,0123,Hades_0123,,,,Oh it's only you.,,,
Integrated,Hades_,0144,Hades_0144,,,,Next.,,,
Integrated,Hades_,0145,Hades_0145,,,,Next...,,,
Integrated,Hades_,0146,Hades_0146,,,,Next!,,,
Integrated,Hades_,0147,Hades_0147,,,,Next...?,,,
Integrated,Hades_,0148,Hades_0148,,,,Next!,,,
Integrated,Hades_,0149,Hades_0149,,,,Who is next.,,,
Integrated,Hades_,0150,Hades_0150,,,,Who is next?,,,
Integrated,Hades_,0151,Hades_0151,,,,Keep it moving.,,,
Integrated,Hades_,0152,Hades_0152,,,,Come forth.,,,
Integrated,Hades_,0153,Hades_0153,,,,Come forth!,,,
Integrated,Hades_,0154,Hades_0154,,,,State your business.,,,
Integrated,Hades_,0155,Hades_0155,,,,State your purpose.,,,
Integrated,Hades_,0156,Hades_0156,,,,State your case.,,,
Integrated,Hades_,0157,Hades_0157,,,,Make your claim.,,,
Integrated,Hades_,0158,Hades_0158,,,,What is it.,,,
Integrated,Hades_,0159,Hades_0159,,,,Make it quick.,,,
Integrated,Hades_,0160,Hades_0160,,,,What.,,,
Integrated,Hades_,0161,Hades_0161,,,,Well?,,,
Integrated,Hades_,0162,Hades_0162,,,,Why are you here.,,,
Integrated,Hades_,0163,Hades_0163,,,,Your business?,,,
Integrated,Hades_,0164,Hades_0164,,,,Hmm.,,,
Integrated,Hades_,0165,Hades_0165,,,,Mmm-hm.,,,
Integrated,Hades_,0166,Hades_0166,,,,Mmm.,,,
Integrated,Hades_,0167,Hades_0167,,,,Hmph.,,,
Integrated,Hades_,0168,Hades_0168,,,,Go on.,,,
Integrated,Hades_,0169,Hades_0169,,,,Indeed.,,,
Integrated,Hades_,0170,Hades_0170,,,,Indeed?,,,
Integrated,Hades_,0171,Hades_0171,,,,What else.,,,
Integrated,Hades_,0172,Hades_0172,,,,Really.,,,
Integrated,Hades_,0173,Hades_0173,,,,I see.,,,
Integrated,Hades_,0174,Hades_0174,,,,Granted.,,,
Integrated,Hades_,0175,Hades_0175,,,,Granted!,,,
Integrated,Hades_,0176,Hades_0176,,,,Granted...,,,
Integrated,Hades_,0177,Hades_0177,,,,Claim granted.,,,
Integrated,Hades_,0178,Hades_0178,,,,Your claim is granted.,,,
Integrated,Hades_,0179,Hades_0179,,,,Fair point. Granted.,,,
Integrated,Hades_,0180,Hades_0180,,,,Very well. Claim granted.,,,
Integrated,Hades_,0181,Hades_0181,,,,"Enough, granted.",,,
Integrated,Hades_,0182,Hades_0182,,,,"Fine, granted.",,,
Integrated,Hades_,0183,Hades_0183,,,,Granted. This time.,,,
Integrated,Hades_,0184,Hades_0184,,,,Denied.,,,
Integrated,Hades_,0185,Hades_0185,,,,Denied!,,,
Integrated,Hades_,0186,Hades_0186,,,,Denied...,,,
Integrated,Hades_,0187,Hades_0187,,,,Claim denied.,,,
Integrated,Hades_,0188,Hades_0188,,,,Your claim is denied.,,,
Integrated,Hades_,0189,Hades_0189,,,,Not a chance. Denied.,,,
Integrated,Hades_,0190,Hades_0190,,,,Laughable. Denied.,,,
Integrated,Hades_,0191,Hades_0191,,,,Waste of time. Denied.,,,
Integrated,Hades_,0192,Hades_0192,,,,Certainly not. Denied.,,,
Integrated,Hades_,0193,Hades_0193,,,,Most certainly denied.,,,
Integrated,Hades_,0194,Hades_0194,,,,Absurd. Denied.,,,
Integrated,Hades_,0195,Hades_0195,,,,"Denied, and out with you.",,,
Integrated,Hades_,0196,Hades_0196,,,,"You have a tendency to ask too many questions, boy. Would that you had a tendency to wonder silently, instead.",,,
Integrated,Hades_,0197,Hades_0197,,,,"You're not to speak of that accursed Mount Olympus in this household, do you hear me? Nor shall you invoke the names of its inhabitants.",,,
Integrated,Hades_,0198,Hades_0198,,,,"Say it: Blood and darkness. It's a curse, boy. Say it with me. Blood. And. Darkness. Each available in high abundance here.",,,
Integrated,Hades_,0199,Hades_0199,,,,"Time you learned the bearing of the gods, and to assert yourself. For this I have employed the greatest of the Greeks, or what became of him.",,,
Integrated,Hades_,0200,Hades_0200,,,,"Where do you think you are? Who do you think you're talking to? Nobody gets out of my domain, whether alive or dead.",,,
