MegaeraField,ID,ID,ID,,,,Line
Integrated,MegaeraField_,0064,MegaeraField_0064,,,,Take this!
Integrated,MegaeraField_,0065,MegaeraField_0065,,,,Try this!
Integrated,MegaeraField_,0066,MegaeraField_0066,,,,Catch this!
Integrated,MegaeraField_,0067,MegaeraField_0067,,,,Dodge this!
Integrated,MegaeraField_,0068,MegaeraField_0068,,,,Eat this!
Integrated,MegaeraField_,0069,MegaeraField_0069,,,,Here!
Integrated,MegaeraField_,0070,MegaeraField_0070,,,,Die!
Integrated,MegaeraField_,0071,MegaeraField_0071,,,,Kill!
Integrated,MegaeraField_,0072,MegaeraField_0072,,,,Suffer!
Integrated,MegaeraField_,0073,MegaeraField_0073,,,,Catch!
Integrated,MegaeraField_,0074,MegaeraField_0074,,,,Blood and darkness!
Integrated,MegaeraField_,0075,MegaeraField_0075,,,,You asked for this!
Integrated,MegaeraField_,0076,MegaeraField_0076,,,,"Start running, fool!"
Integrated,MegaeraField_,0077,MegaeraField_0077,,,,I'll kill you where you stand!
Integrated,MegaeraField_,0078,MegaeraField_0078,,,,Enough!
Integrated,MegaeraField_,0079,MegaeraField_0079,,,,"Run for it, little man!"
Integrated,MegaeraField_,0080,MegaeraField_0080,,,,You can't escape from me.
Integrated,MegaeraField_,0081,MegaeraField_0081,,,,Have some of this...!
Integrated,MegaeraField_,0082,MegaeraField_0082,,,,I'll make you pay...!
Integrated,MegaeraField_,0083,MegaeraField_0083,,,,You are a waste of time.
Integrated,MegaeraField_,0084,MegaeraField_0084,,,,Hold it right there.
Integrated,MegaeraField_,0085,MegaeraField_0085,,,,I'll make this quick.
Integrated,MegaeraField_,0086,MegaeraField_0086,,,,"Beg me for mercy, fool."
Integrated,MegaeraField_,0087,MegaeraField_0087,,,,You want a taste of this?
Integrated,MegaeraField_,0088,MegaeraField_0088,,,,"Come closer, Zagreus."
Integrated,MegaeraField_,0089,MegaeraField_0089,,,,You stay right there.
Integrated,MegaeraField_,0090,MegaeraField_0090,,,,Bastard!
Integrated,MegaeraField_,0091,MegaeraField_0091,,,,You bastard!
Integrated,MegaeraField_,0092,MegaeraField_0092,,,,You little brat!
Integrated,MegaeraField_,0093,MegaeraField_0093,,,,You brat!
Integrated,MegaeraField_,0094,MegaeraField_0094,,,,How dare you!
Integrated,MegaeraField_,0095,MegaeraField_0095,,,,You dare?
Integrated,MegaeraField_,0096,MegaeraField_0096,,,,"Why, you!"
Integrated,MegaeraField_,0097,MegaeraField_0097,,,,That hurt.
Integrated,MegaeraField_,0098,MegaeraField_0098,,,,Damn it!
Integrated,MegaeraField_,0099,MegaeraField_0099,,,,Damn you!
Integrated,MegaeraField_,0100,MegaeraField_0100,,,,Curse you!
Integrated,MegaeraField_,0101,MegaeraField_0101,,,,Blood and darkness!
Integrated,MegaeraField_,0102,MegaeraField_0102,,,,Not again!
Integrated,MegaeraField_,0103,MegaeraField_0103,,,,Enough of this!
Integrated,MegaeraField_,0104,MegaeraField_0104,,,,That does it!
Integrated,MegaeraField_,0105,MegaeraField_0105,,,,Enough!
Integrated,MegaeraField_,0106,MegaeraField_0106,,,,"Wretches of Tartarus, to me!"
Integrated,MegaeraField_,0107,MegaeraField_0107,,,,"Wretches of the Underworld, to me!"
Integrated,MegaeraField_,0108,MegaeraField_0108,,,,"Hear me, on my authority!"
Integrated,MegaeraField_,0109,MegaeraField_0109,,,,In the name of Hades!
Integrated,MegaeraField_,0110,MegaeraField_0110,,,,"Hear me, you wretched shades!"
Integrated,MegaeraField_,0111,MegaeraField_0111,,,,"I need some backup, now!"
Integrated,MegaeraField_,0112,MegaeraField_0112,,,,Let's see you handle this!
Integrated,MegaeraField_,0113,MegaeraField_0113,,,,We're not finished yet.
Integrated,MegaeraField_,0114,MegaeraField_0114,,,,We're only getting started.
Integrated,MegaeraField_,0115,MegaeraField_0115,,,,You're going to pay for this.
Integrated,MegaeraField_,0116,MegaeraField_0116,,,,I'll make you suffer.
Integrated,MegaeraField_,0117,MegaeraField_0117,,,,I am not finished yet.
Integrated,MegaeraField_,0118,MegaeraField_0118,,,,Best not get overconfident.
Integrated,MegaeraField_,0119,MegaeraField_0119,,,,This isn't over yet.
Integrated,MegaeraField_,0120,MegaeraField_0120,,,,I will not let you win.
Integrated,MegaeraField_,0121,MegaeraField_0121,,,,You haven't beat me yet.
