MegaeraHome,ID,ID,ID,,,,Line,,,Notes by DK
Integrated,MegaeraHome_,0020,MegaeraHome_0020,,,,"We've nothing left to say to one another, Zagreus.",,,
Unused,MegaeraHome_,0050,MegaeraHome_0050,,,,Thank you for turning in this contraband. There is... a small reward to be exchanged for such a service.,,,
Unused,MegaeraHome_,0052,MegaeraHome_0052,,,,"Thanks, I will be confiscating that. And, you ought to be confiscating this. Here, take it, and go.",,,
Integrated,MegaeraHome_,0053,MegaeraHome_0053,,,,Tsch...,,,
Integrated,MegaeraHome_,0054,MegaeraHome_0054,,,,You...,,,
Integrated,MegaeraHome_,0055,MegaeraHome_0055,,,,Rnnggh...,,,
Integrated,MegaeraHome_,0056,MegaeraHome_0056,,,,Go away.,,,
Integrated,MegaeraHome_,0057,MegaeraHome_0057,,,,Hmph.,,,
Integrated,MegaeraHome_,0058,MegaeraHome_0058,,,,Zagreus.,,,
Integrated,MegaeraHome_,0059,MegaeraHome_0059,,,,You're back.,,,
Integrated,MegaeraHome_,0060,MegaeraHome_0060,,,,You're back?,,,
Integrated,MegaeraHome_,0061,MegaeraHome_0061,,,,Hmm.,,,
To Be Integrated,MegaeraHome_,0063,MegaeraHome_0063,,,,I thought I said to leave me be.,,,
To Be Integrated,MegaeraHome_,0064,MegaeraHome_0064,,,,"Get out of here, I said.",,,
Integrated,MegaeraHome_,0066,MegaeraHome_0066,,,,Hmm.,,,
Integrated,MegaeraHome_,0067,MegaeraHome_0067,,,,Yes?,,,
Integrated,MegaeraHome_,0068,MegaeraHome_0068,,,,May I help you?,,,
Integrated,MegaeraHome_,0069,MegaeraHome_0069,,,,Eh.,,,
Integrated,MegaeraHome_,0070,MegaeraHome_0070,,,,Khh.,,,
Integrated,MegaeraHome_,0071,MegaeraHome_0071,,,,What.,,,
Integrated,MegaeraHome_,0072,MegaeraHome_0072,,,,Oh.,,,
Integrated,MegaeraHome_,0073,MegaeraHome_0073,,,,Yes...?,,,
