Sisyphus,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Integrated,Sisyphus_,0026,Sisyphus_0026,,,,"Bouldy and I, we're proud to be of service, Your Highness!",,,
Darren,Sisyphus_,0027,Sisyphus_0027,,,,What'll it be?,,,
Darren,Sisyphus_,0028,Sisyphus_0028,,,,Something I can do for you?,,,
Darren,Sisyphus_,0029,Sisyphus_0029,,,,Let's get you on your way!,,,
Darren,Sisyphus_,0030,Sisyphus_0030,,,,How can I help?,,,
Darren,Sisyphus_,0031,Sisyphus_0031,,,,I interest you in one of these?,,,
Darren,Sisyphus_,0033,Sisyphus_0033,,,,Think I can be of service!,,,
Darren,Sisyphus_,0034,Sisyphus_0034,,,,Go on and take your pick!,,,
Darren,Sisyphus_,0035,Sisyphus_0035,,,,What can I do for you?,,,
Integrated,Sisyphus_,0036,Sisyphus_0036,,,,I got you covered!,,,
Darren,Sisyphus_,0037,Sisyphus_0037,,,,Here's what I've got.,,,
Integrated,Sisyphus_,0038,Sisyphus_0038,,,,Sure thing!,,,
Integrated,Sisyphus_,0039,Sisyphus_0039,,,,You got it.,,,
Integrated,Sisyphus_,0040,Sisyphus_0040,,,,Say no more!,,,
Integrated,Sisyphus_,0041,Sisyphus_0041,,,,Easy does it!,,,
Integrated,Sisyphus_,0042,Sisyphus_0042,,,,Good choice!,,,
Integrated,Sisyphus_,0043,Sisyphus_0043,,,,A fine selection there!,,,
Integrated,Sisyphus_,0044,Sisyphus_0044,,,,It's all yours!,,,
Integrated,Sisyphus_,0045,Sisyphus_0045,,,,"Sure, here you go!",,,
Integrated,Sisyphus_,0046,Sisyphus_0046,,,,Good idea!,,,
Integrated,Sisyphus_,0047,Sisyphus_0047,,,,Makes sense to me!,,,
Integrated,Sisyphus_,0048,Sisyphus_0048,,,,Most excellent!,,,
Integrated,Sisyphus_,0049,Sisyphus_0049,,,,Not to worry!,,,
Integrated,Sisyphus_,0050,Sisyphus_0050,,,,That who I think it is...?,,,
Integrated,Sisyphus_,0051,Sisyphus_0051,,,,Ahoy!,,,
Integrated,Sisyphus_,0052,Sisyphus_0052,,,,Ahoy there!,,,
Integrated,Sisyphus_,0053,Sisyphus_0053,,,,Look who!,,,
Integrated,Sisyphus_,0054,Sisyphus_0054,,,,Hullo!,,,
Integrated,Sisyphus_,0055,Sisyphus_0055,,,,"Hullo, hullo!",,,
Integrated,Sisyphus_,0056,Sisyphus_0056,,,,Just on a little break!,,,
Integrated,Sisyphus_,0057,Sisyphus_0057,,,,Perfect timing!,,,
Integrated,Sisyphus_,0058,Sisyphus_0058,,,,Your Highness!,,,
Integrated,Sisyphus_,0059,Sisyphus_0059,,,,"Well, well!",,,
Integrated,Sisyphus_,0060,Sisyphus_0060,,,,Aren't you a sight!,,,
Integrated,Sisyphus_,0061,Sisyphus_0061,,,,Prince Z.!,,,
Integrated,Sisyphus_,0062,Sisyphus_0062,,,,"Hey, hey!",,,
Integrated,Sisyphus_,0063,Sisyphus_0063,,,,Good morning or whenever!,,,
Integrated,Sisyphus_,0064,Sisyphus_0064,,,,"Uh, Prince?",,,
Integrated,Sisyphus_,0065,Sisyphus_0065,,,,"Nice try, there!",,,
Integrated,Sisyphus_,0066,Sisyphus_0066,,,,No use in that.,,,
Integrated,Sisyphus_,0067,Sisyphus_0067,,,,"Already dead here, Prince.",,,
Integrated,Sisyphus_,0068,Sisyphus_0068,,,,"Don't bother, Prince.",,,
Integrated,Sisyphus_,0069,Sisyphus_0069,,,,"Come on, now.",,,
Integrated,Sisyphus_,0070,Sisyphus_0070,,,,Oh come now.,,,
Integrated,Sisyphus_,0071,Sisyphus_0071,,,,Why bother.,,,
Integrated,Sisyphus_,0072,Sisyphus_0072,,,,Try all you like!,,,
Integrated,Sisyphus_,0073,Sisyphus_0073,,,,"Very funny, Prince.",,,
Integrated,Sisyphus_,0074,Sisyphus_0074,,,,"Oof, got me good there!",,,
Integrated,Sisyphus_,0075,Sisyphus_0075,,,,"Nope, can't feel a thing.",,,
Integrated,Sisyphus_,0076,Sisyphus_0076,,,,"That's it, let all out.",,,
Darren,Sisyphus_,0077,Sisyphus_0077,,,,Could use a little help here...!,,,
Darren,Sisyphus_,0078,Sisyphus_0078,,,,Hey lend a hand would you?,,,
Darren,Sisyphus_,0079,Sisyphus_0079,,,,I'm in a bit of trouble Prince...!,,,
Darren,Sisyphus_,0080,Sisyphus_0080,,,,Could use a hand I think...!,,,
Darren,Sisyphus_,0081,Sisyphus_0081,,,,"Um, hello, Prince...!",,,
Darren,Sisyphus_,0082,Sisyphus_0082,,,,"Nice day we're having, Prince...!",,,
Darren,Sisyphus_,0083,Sisyphus_0083,,,,"Um, hello, how's it going?",,,
Darren,Sisyphus_,0084,Sisyphus_0084,,,,Mind lending me a hand here?,,,
Darren,Sisyphus_,0085,Sisyphus_0085,,,,"Hate to bother you, but, uh...",,,
Darren,Sisyphus_,0086,Sisyphus_0086,,,,Oh hi there Prince...!,,,
Darren,Sisyphus_,0087,Sisyphus_0087,,,,A little help here?,,,
Integrated,Sisyphus_,0088,Sisyphus_0088,,,,"Erm, Prince...?",,,
Darren,Sisyphus_,0089,Sisyphus_0089,,,,"Got a little situation, Prince!",,,
Darren,Sisyphus_,0090,Sisyphus_0090,,,,Another day in Tartarus!,,,
Darren,Sisyphus_,0091,Sisyphus_0091,,,,Aren't you a sight!,,,
Darren,Sisyphus_,0092,Sisyphus_0092,,,,Prince Z.!,,,
Darren,Sisyphus_,0093,Sisyphus_0093,,,,Good morning or whenever!,,,
Darren,Sisyphus_,0094,Sisyphus_0094,,,,Your Highness!,,,
Darren,Sisyphus_,0095,Sisyphus_0095,,,,"Thank you, Prince.",,,
Darren,Sisyphus_,0096,Sisyphus_0096,,,,Thank you.,,,
Darren,Sisyphus_,0097,Sisyphus_0097,,,,I owe you one.,,,
Darren,Sisyphus_,0098,Sisyphus_0098,,,,Just in the nick of time!,,,
Darren,Sisyphus_,0099,Sisyphus_0099,,,,Whew!,,,
Darren,Sisyphus_,0100,Sisyphus_0100,,,,Whew.,,,
Darren,Sisyphus_,0101,Sisyphus_0101,,,,That's a relief.,,,
Darren,Sisyphus_,0102,Sisyphus_0102,,,,Peace and quiet!,,,
Darren,Sisyphus_,0103,Sisyphus_0103,,,,You sure showed them!,,,
Darren,Sisyphus_,0104,Sisyphus_0104,,,,They sure got theirs!,,,
Darren,Sisyphus_,0105,Sisyphus_0105,,,,You got them!,,,
