Eurydice,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Integrated,Lyric,1,EurydiceSong1_Eurydice_001,,,,{!Icons.Music}Farewell{!Icons.Music},,,
Integrated,Lyric,2,EurydiceSong1_Eurydice_002,,,,{!Icons.Music}To all the earthly remains{!Icons.Music},,,
Integrated,Lyric,3,EurydiceSong1_Eurydice_003,,,,{!Icons.Music}No burdens{!Icons.Music},,,
Integrated,Lyric,4,EurydiceSong1_Eurydice_004,,,,{!Icons.Music}No further debts to be paid{!Icons.Music},,,
Integrated,Lyric,5,EurydiceSong1_Eurydice_005,,,,{!Icons.Music}Atlas{!Icons.Music},,,
Integrated,Lyric,6,EurydiceSong1_Eurydice_006,,,,{!Icons.Music}Can rest his weary bones{!Icons.Music},,,
Integrated,Lyric,7,EurydiceSong1_Eurydice_007,,,,{!Icons.Music}The weight of the world{!Icons.Music},,,
Integrated,Lyric,8,EurydiceSong1_Eurydice_008,,,,{!Icons.Music}All falls away{!Icons.Music},,,
Integrated,Lyric,9,EurydiceSong1_Eurydice_009,,,,{!Icons.Music}In time{!Icons.Music},,,
Integrated,Lyric,10,EurydiceSong1_Eurydice_010,,,,{!Icons.Music}Good-bye{!Icons.Music},,,
Integrated,Lyric,11,EurydiceSong1_Eurydice_011,,,,{!Icons.Music}To all the plans that we made{!Icons.Music},,,
Integrated,Lyric,12,EurydiceSong1_Eurydice_012,,,,{!Icons.Music}No contracts{!Icons.Music},,,
Integrated,Lyric,13,EurydiceSong1_Eurydice_013,,,,{!Icons.Music}I'm free to do as I may{!Icons.Music},,,
Integrated,Lyric,14,EurydiceSong1_Eurydice_014,,,,{!Icons.Music}No hunger{!Icons.Music},,,
Integrated,Lyric,15,EurydiceSong1_Eurydice_015,,,,{!Icons.Music}No sleep except to dream{!Icons.Music},,,
Integrated,Lyric,16,EurydiceSong1_Eurydice_016,,,,{!Icons.Music}Mild and warm{!Icons.Music},,,
Integrated,Lyric,17,EurydiceSong1_Eurydice_017,,,,{!Icons.Music}Safe from all harm{!Icons.Music},,,
Integrated,Lyric,18,EurydiceSong1_Eurydice_018,,,,{!Icons.Music}Calm{!Icons.Music},,,
Integrated,Lyric,19,EurydiceSong1_Eurydice_019,,,,{!Icons.Music}Good riddance to all the thieves{!Icons.Music},,,
Integrated,Lyric,20,EurydiceSong1_Eurydice_020,,,,{!Icons.Music}To all the fools that stifled me{!Icons.Music},,,
Integrated,Lyric,21,EurydiceSong1_Eurydice_021,,,,{!Icons.Music}They've come and gone and passed me by{!Icons.Music},,,
Integrated,Lyric,22,EurydiceSong1_Eurydice_022,,,,{!Icons.Music}Good riddance to all{!Icons.Music},,,
Integrated,Lyric,23,EurydiceSong1_Eurydice_023,,,,{!Icons.Music}Farewell{!Icons.Music},,,
Integrated,Lyric,24,EurydiceSong1_Eurydice_024,,,,{!Icons.Music}To all the earthly remains{!Icons.Music},,,
Integrated,Lyric,25,EurydiceSong1_Eurydice_025,,,,{!Icons.Music}No burdens{!Icons.Music},,,
Integrated,Lyric,26,EurydiceSong1_Eurydice_026,,,,{!Icons.Music}No further debts to be paid{!Icons.Music},,,
Integrated,Lyric,27,EurydiceSong1_Eurydice_027,,,,{!Icons.Music}Atlas{!Icons.Music},,,
Integrated,Lyric,28,EurydiceSong1_Eurydice_028,,,,{!Icons.Music}Can rest his weary bones{!Icons.Music},,,
Integrated,Lyric,29,EurydiceSong1_Eurydice_029,,,,{!Icons.Music}The weight of the world{!Icons.Music},,,
Integrated,Lyric,30,EurydiceSong1_Eurydice_030,,,,{!Icons.Music}All falls away{!Icons.Music},,,
Integrated,Lyric,31,EurydiceSong1_Eurydice_031,,,,{!Icons.Music}In time{!Icons.Music},,,
Integrated,Lyric,32,HideLyrics,,,,,,,
Integrated,Lyric,33,EurydiceSong1_Orpheus_001,,,,{!Icons.Music}Farewell{!Icons.Music},,,
Integrated,Lyric,34,EurydiceSong1_Orpheus_002,,,,{!Icons.Music}To all the earthly remains{!Icons.Music},,,
Integrated,Lyric,35,EurydiceSong1_Orpheus_003,,,,{!Icons.Music}No burdens{!Icons.Music},,,
Integrated,Lyric,36,EurydiceSong1_Orpheus_004,,,,{!Icons.Music}No further debts to be paid{!Icons.Music},,,
Integrated,Lyric,37,EurydiceSong1_Orpheus_005,,,,{!Icons.Music}Atlas{!Icons.Music},,,
Integrated,Lyric,38,EurydiceSong1_Orpheus_006,,,,{!Icons.Music}Can rest his weary bones{!Icons.Music},,,
Integrated,Lyric,39,EurydiceSong1_Orpheus_007,,,,{!Icons.Music}The weight of the world{!Icons.Music},,,
Integrated,Lyric,40,EurydiceSong1_Orpheus_008,,,,{!Icons.Music}All falls away{!Icons.Music},,,
Integrated,Lyric,41,EurydiceSong1_Orpheus_009,,,,{!Icons.Music}In time{!Icons.Music},,,
Integrated,Lyric,42,EurydiceSong1_Orpheus_010,,,,{!Icons.Music}Good-bye{!Icons.Music},,,
Integrated,Lyric,43,EurydiceSong1_Orpheus_011,,,,{!Icons.Music}To all the plans that we made{!Icons.Music},,,
Integrated,Lyric,44,EurydiceSong1_Orpheus_012,,,,{!Icons.Music}No contracts{!Icons.Music},,,
Integrated,Lyric,45,EurydiceSong1_Orpheus_013,,,,{!Icons.Music}I'm free to do as I may{!Icons.Music},,,
Integrated,Lyric,46,EurydiceSong1_Orpheus_014,,,,{!Icons.Music}No hunger{!Icons.Music},,,
Integrated,Lyric,47,EurydiceSong1_Orpheus_015,,,,{!Icons.Music}No sleep except to dream{!Icons.Music},,,
Integrated,Lyric,48,EurydiceSong1_Orpheus_016,,,,{!Icons.Music}Mild and warm{!Icons.Music},,,
Integrated,Lyric,49,EurydiceSong1_Orpheus_017,,,,{!Icons.Music}Safe from all harm{!Icons.Music},,,
Integrated,Lyric,50,EurydiceSong1_Orpheus_018,,,,{!Icons.Music}Calm{!Icons.Music},,,
Integrated,Lyric,51,EurydiceSong1_Orpheus_019,,,,{!Icons.Music}Good riddance to all the thieves{!Icons.Music},,,
Integrated,Lyric,52,EurydiceSong1_Orpheus_020,,,,{!Icons.Music}To all the fools that stifled me{!Icons.Music},,,
Integrated,Lyric,53,EurydiceSong1_Orpheus_021,,,,{!Icons.Music}They've come and gone and passed me by{!Icons.Music},,,
Integrated,Lyric,54,EurydiceSong1_Orpheus_022,,,,{!Icons.Music}Good riddance to all{!Icons.Music},,,
Integrated,Lyric,55,EurydiceSong1_Orpheus_023,,,,{!Icons.Music}Farewell{!Icons.Music},,,
Integrated,Lyric,56,EurydiceSong1_Orpheus_024,,,,{!Icons.Music}To all the earthly remains{!Icons.Music},,,
Integrated,Lyric,57,EurydiceSong1_Orpheus_025,,,,{!Icons.Music}No burdens{!Icons.Music},,,
Integrated,Lyric,58,EurydiceSong1_Orpheus_026,,,,{!Icons.Music}No further debts to be paid{!Icons.Music},,,
Integrated,Lyric,59,EurydiceSong1_Orpheus_027,,,,{!Icons.Music}Atlas{!Icons.Music},,,
Integrated,Lyric,60,EurydiceSong1_Orpheus_028,,,,{!Icons.Music}Can rest his weary bones{!Icons.Music},,,
Integrated,Lyric,61,EurydiceSong1_Orpheus_029,,,,{!Icons.Music}The weight of the world{!Icons.Music},,,
Integrated,Lyric,62,EurydiceSong1_Orpheus_030,,,,{!Icons.Music}All falls away{!Icons.Music},,,
Integrated,Lyric,63,EurydiceSong1_Orpheus_031,,,,{!Icons.Music}In time{!Icons.Music},,,
Integrated,Lyric,64,EurydiceSong1_Orpheus_032,,,,,,,
Integrated,Lyric,65,EurydiceSong1_Orpheus_033,,,,,,,
Integrated,Lyric,66,EurydiceSong1_Orpheus_034,,,,,,,
Integrated,Lyric,67,EurydiceSong1_Orpheus_035,,,,,,,
Integrated,Lyric,68,,,,,,,,
Integrated,Lyric,69,EurydiceSong1_Duet_001,,,,{!Icons.Music}Farewell{!Icons.Music},,,
Integrated,Lyric,70,EurydiceSong1_Duet_002,,,,{!Icons.Music}To all the earthly remains{!Icons.Music},,,
Integrated,Lyric,71,EurydiceSong1_Duet_003,,,,{!Icons.Music}No burdens{!Icons.Music},,,
Integrated,Lyric,72,EurydiceSong1_Duet_004,,,,{!Icons.Music}No further debts to be paid{!Icons.Music},,,
Integrated,Lyric,73,EurydiceSong1_Duet_005,,,,{!Icons.Music}Atlas{!Icons.Music},,,
Integrated,Lyric,74,EurydiceSong1_Duet_006,,,,{!Icons.Music}Can rest his weary bones{!Icons.Music},,,
Integrated,Lyric,75,EurydiceSong1_Duet_007,,,,{!Icons.Music}The weight of the world{!Icons.Music},,,
Integrated,Lyric,76,EurydiceSong1_Duet_008,,,,{!Icons.Music}All falls away{!Icons.Music},,,
Integrated,Lyric,77,EurydiceSong1_Duet_009,,,,{!Icons.Music}In time{!Icons.Music},,,
Integrated,Lyric,78,EurydiceSong1_Duet_010,,,,{!Icons.Music}Good-bye{!Icons.Music},,,
Integrated,Lyric,79,EurydiceSong1_Duet_011,,,,{!Icons.Music}To all the plans that we made{!Icons.Music},,,
Integrated,Lyric,80,EurydiceSong1_Duet_012,,,,{!Icons.Music}No contracts{!Icons.Music},,,
Integrated,Lyric,81,EurydiceSong1_Duet_013,,,,{!Icons.Music}I'm free to do as I may{!Icons.Music},,,
Integrated,Lyric,82,EurydiceSong1_Duet_014,,,,{!Icons.Music}No hunger{!Icons.Music},,,
Integrated,Lyric,83,EurydiceSong1_Duet_015,,,,{!Icons.Music}No sleep except to dream{!Icons.Music},,,
Integrated,Lyric,84,EurydiceSong1_Duet_016,,,,{!Icons.Music}Mild and warm{!Icons.Music},,,
Integrated,Lyric,85,EurydiceSong1_Duet_017,,,,{!Icons.Music}Safe from all harm{!Icons.Music},,,
Integrated,Lyric,86,EurydiceSong1_Duet_018,,,,{!Icons.Music}Calm{!Icons.Music},,,
Integrated,Lyric,87,EurydiceSong1_Duet_019,,,,{!Icons.Music}Good riddance to all the thieves{!Icons.Music},,,
Integrated,Lyric,88,EurydiceSong1_Duet_020,,,,{!Icons.Music}To all the fools that stifled me{!Icons.Music},,,
