Storyteller,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Integrated,Storyteller_,0113,Storyteller_0113,,,,"Lord Hades' wine cellar... few are those to have a taste of that intoxicating vintage, and fewer still know how to get inside.",,,
Integrated,Storyteller_,0115,Storyteller_0115,,,,"The countenance of Lady Persephone, Queen of the Underworld, and the betrothed of Lord Hades himself, hangs elegantly in the Hall of Blood, and conspicuously out of sight.",,,
Unused,Storyteller_,0120,Storyteller_0120,,,,"Upon a night not very long ago, Prince of the Underworld Zagreus discovered that the lock upon his Lord and Master's door had been left open...",,,
Unused,Storyteller_,0121,Storyteller_0121,,,,Lord Hades all the while slept as his son disobediently ventured into halls forbidden always from his step or sight.,,,
Integrated,Storyteller_,0122,Storyteller_0122,,,,"Which sorts of useful trinkets would be hidden in his Father's chambers, wondered the disaffected Prince? ",,,
Unused,Storyteller_,0123,Storyteller_0123,,,,"There was not much to find. The Lord and Master of the House kept only to his business, an eternity of grim and solitary work.",,,
Unused,Storyteller_,0124,Storyteller_0124,,,,"But then, there was the note... written finely in a hand and voice the likes of which the Prince had never seen or heard.",,,
Integrated,Storyteller_,0126,Storyteller_0126,,,,"Uhhh erm thus did the Prince discover, inadvertently, the well-kept truth about his lineage. Entirely by chance, this did occur....",,,
Integrated,Storyteller_,0127,Storyteller_0127,,,,"Engulfed by newfound questions and his rage, the Prince decided to confront his Lord and Master.",,,
Integrated,Storyteller_,0128,Storyteller_0128,,,,"Persephone... the one-time Queen of all the Underworld... where had she gone, and why?",,,
Unused,Storyteller_,0129,Storyteller_0129,,,,"Cerberus regards the Prince with mixed emotions, ranging from joy to melancholy.",,,
Unused,Storyteller_,0130,Storyteller_0130,,,,"It is the dead of night, or the approximation of it in the Underworld. Prince of the Underworld Zagreus rises from a fitful slumber, with much mischief on his mind.",,,
Darren,Storyteller_,0153,Storyteller_0153,,,,"As Cerberus receives the gift, Prince Zagreus observes the watch-dog holding something for him, in his jaw.",,,
Integrated,Storyteller_,0155,Storyteller_0155,,,,An unassuming ferryboat floats gently on the waters of the Styx. It has brought countless dead to their eternal resting place.,,,
Integrated,Storyteller_,0179,Storyteller_0179,,,,"Thus having stilled the deathless raging of the bone-forged Hydra, willful Zagreus now presses ever forward, upward, toward his goal: the surface, where his long-lost birthmother resides.",,,
Integrated,Storyteller_,0180,Storyteller_0180,,,,The myriad of challenges and dangers that await beyond the flame-hot river shall be revealed and overcome upon a later time.,,,
Integrated,Storyteller_,0181,Storyteller_0181,,,,"Let us imagine that the Prince did not go far, before falling once more into his father's house....",,,
Integrated,Storyteller_,0182,Storyteller_0182,,,,"Imagine, if you will, the Underworld Prince soon meets one of his typical, ignoble deaths.",,,
Integrated,Storyteller_,0183,Storyteller_0183,,,,"For now, there is no more to say or show from here, so let us say instead that Zagreus was cruelly killed, again.",,,
Integrated,Storyteller_,0184,Storyteller_0184,,,,"Beyond this point, our tale of the Underworld's determined Prince cannot further continue at this time. But time does not stand still, and more, much more, shall someday be revealed....",,,
Integrated,Storyteller_,0185,Storyteller_0185,,,,The trials of Prince Zagreus have only just begun...,,,
Integrated,Storyteller_,0186,Storyteller_0186,,,,Our tale of the Underworld Prince is far from finished. But the rest of it shall have to wait until another time.,,,
Integrated,Storyteller_,0187,Storyteller_0187,,,,The tale of death-defying Zagreus shall continue at a later time.,,,
Integrated,Storyteller_,0188,Storyteller_0188,,,,"The next stage of the Prince's journey to the surface would bring even greater peril and surprise, the likes of which shall have to be described some other time.",,,
Integrated,Storyteller_,0204,Storyteller_0204,,,,The Underworld Prince is getting rather good at this. But let us say he perished anyhow.,,,
Integrated,Storyteller_,0205,Storyteller_0205,,,,Pretend our deftly-footed Prince did not survive the Hydra's wrath back there.,,,
Integrated,Storyteller_,0206,Storyteller_0206,,,,"Alas, the wisely-spoken Zagreus... stumbled upon a pit of deadly spears, perhaps?",,,
Integrated,Storyteller_,0207,Storyteller_0207,,,,"Then, erm, valiantly striding Zagreus was set upon by seven Bloodless Slam-Dancers, and slain. Or something of the sort.",,,
Integrated,Storyteller_,0208,Storyteller_0208,,,,"The duty-shirking Prince then met another of his fated deaths, in fashion best left to imagination.",,,
Integrated,Storyteller_,0209,Storyteller_0209,,,,"Prince Zagreus proceeded onward toward his certain doom, entirely too graphic to describe.",,,
Integrated,Storyteller_,0210,Storyteller_0210,,,,Beyond this point lies such a horrifying fate that we had better speak no more of it for now.,,,
