ZagreusField,ID,ID,ID,,,,Line,,,Notes by DK
Integrated,ZagreusField_,0002,ZagreusField_0002a,,,,Wasn't planning on it.,,,
Integrated,ZagreusField_,0003,ZagreusField_0003,,,,No. Not on your life.,,,
Integrated,ZagreusField_,0004,ZagreusField_0004,,,,You failed. I won't.,,,
Integrated,ZagreusField_,0005,ZagreusField_0005,,,,I'm not staying. Not even for him.,,,
Integrated,ZagreusField_,0006,ZagreusField_0006,,,,I'll show you.,,,
Integrated,ZagreusField_,0007,ZagreusField_0007,,,,I'll have to be more careful.,,,
Integrated,ZagreusField_,0008,ZagreusField_0008b,,,,What's life without a little pain.,,,
Integrated,ZagreusField_,0009,ZagreusField_0009,,,,Get out of my head.,,,
Integrated,ZagreusField_,0010,ZagreusField_0010,,,,Fear is for the weak.,,,
Integrated,ZagreusField_,0011,ZagreusField_0011,,,,"Good-bye, Father.",,,
Greg,ZagreusField_,0012,ZagreusField_0012,,,,We'll see.,,,
Integrated,ZagreusField_,0013,ZagreusField_0013,,,,I'm getting out of here.,,,
Integrated,ZagreusField_,0014,ZagreusField_0014,,,,Stand aside.,,,
Integrated,ZagreusField_,0015,ZagreusField_0015,,,,You should've listened.,,,
Integrated,ZagreusField_,0016,ZagreusField_0016,,,,Damn you.,,,
Integrated,ZagreusField_,0017,ZagreusField_0017,,,,Don't cross me again.,,,
Integrated,ZagreusField_,0018,ZagreusField_0018,,,,You want to die again?,,,
Integrated,ZagreusField_,0019,ZagreusField_0019,,,,You had it coming.,,,
Integrated,ZagreusField_,0020,ZagreusField_0020,,,,Out of my way.,,,
Integrated,ZagreusField_,0021,ZagreusField_0021,,,,You can't stop me.,,,
Integrated,ZagreusField_,0022,ZagreusField_0022,,,,Come try me.,,,
Integrated,ZagreusField_,0023,ZagreusField_0023,,,,Blasted fools.,,,
Integrated,ZagreusField_,0024,ZagreusField_0024,,,,"Stand down, or suffer.",,,
Integrated,ZagreusField_,0025,ZagreusField_0025,,,,You shouldn't have crossed me.,,,
Integrated,ZagreusField_,0026,ZagreusField_0026,,,,"Come on, then.",,,
Integrated,ZagreusField_,0027,ZagreusField_0027,,,,Pathetic.,,,
Integrated,ZagreusField_,0028,ZagreusField_0028,,,,How do you do.,,,
Integrated,ZagreusField_,0029,ZagreusField_0029,,,,Nice meeting you.,,,
Integrated,ZagreusField_,0030,ZagreusField_0030,,,,You again.,,,
Integrated,ZagreusField_,0031,ZagreusField_0031,,,,I should keep going.,,,
Integrated,ZagreusField_,0032,ZagreusField_0032,,,,I should press on.,,,
Integrated,ZagreusField_,0033,ZagreusField_0033a,,,,I should go.,,,
Integrated,ZagreusField_,0034,ZagreusField_0034,,,,Nothing left here.,,,
Integrated,ZagreusField_,0035,ZagreusField_0035,,,,There.,,,
Integrated,ZagreusField_,0036,ZagreusField_0036,,,,There!,,,
Integrated,ZagreusField_,0037,ZagreusField_0037,,,,Hah.,,,
Integrated,ZagreusField_,0038,ZagreusField_0038,,,,T'heh.,,,
Integrated,ZagreusField_,0039,ZagreusField_0039,,,,Hmph.,,,
Integrated,ZagreusField_,0040,ZagreusField_0040,,,,He-heh.,,,
Integrated,ZagreusField_,0041,ZagreusField_0041,,,,Heh.,,,
Integrated,ZagreusField_,0042,ZagreusField_0042,,,,Got 'em.,,,
Integrated,ZagreusField_,0043,ZagreusField_0043,,,,Next.,,,
Integrated,ZagreusField_,0044,ZagreusField_0044,,,,Next?,,,
Integrated,ZagreusField_,0045,ZagreusField_0045,,,,Tsch.,,,
Integrated,ZagreusField_,0046,ZagreusField_0046,,,,Pff.,,,
Integrated,ZagreusField_,0047,ZagreusField_0047,,,,Idiot.,,,
Integrated,ZagreusField_,0048,ZagreusField_0048,,,,Easy.,,,
Integrated,ZagreusField_,0049,ZagreusField_0049,,,,Nice try.,,,
Integrated,ZagreusField_,0050,ZagreusField_0050,,,,Good night.,,,
Integrated,ZagreusField_,0051,ZagreusField_0051,,,,You're dead.,,,
Integrated,ZagreusField_,0052,ZagreusField_0052,,,,See you.,,,
Integrated,ZagreusField_,0053,ZagreusField_0053,,,,Dead.,,,
Integrated,ZagreusField_,0054,ZagreusField_0054,,,,Farewell.,,,
Integrated,ZagreusField_,0055,ZagreusField_0055,,,,I'm hurt.,,,
Integrated,ZagreusField_,0056,ZagreusField_0056b,,,,Got me good.,,,
Integrated,ZagreusField_,0057,ZagreusField_0057b,,,,Damn this smarts.,,,
Integrated,ZagreusField_,0058,ZagreusField_0058,,,,Ungh got me.,,,
Integrated,ZagreusField_,0059,ZagreusField_0059,,,,Can't take much more.,,,
Integrated,ZagreusField_,0060,ZagreusField_0060,,,,"Ungh, damn it.",,,
Integrated,ZagreusField_,0061,ZagreusField_0061,,,,OK that hurt.,,,
Integrated,ZagreusField_,0062,ZagreusField_0062,,,,Oh this isn't good.,,,
Integrated,ZagreusField_,0063,ZagreusField_0063,,,,I'm near death.,,,
Integrated,ZagreusField_,0064,ZagreusField_0064,,,,Am I dead or what?,,,
Integrated,ZagreusField_,0065,ZagreusField_0065,,,,My spirit's fading.,,,
Integrated,ZagreusField_,0066,ZagreusField_0066,,,,Where's all my blood huh?,,,
Integrated,ZagreusField_,0067,ZagreusField_0067,,,,No...,,,
Integrated,ZagreusField_,0068,ZagreusField_0068,,,,Aahh!,,,
Integrated,ZagreusField_,0069,ZagreusField_0069,,,,Wha--?,,,
Integrated,ZagreusField_,0070,ZagreusField_0070,,,,Wha?!,,,
Integrated,ZagreusField_,0071,ZagreusField_0071,,,,Again?!,,,
Integrated,ZagreusField_,0072,ZagreusField_0072,,,,Anngh.,,,
Integrated,ZagreusField_,0073,ZagreusField_0073,,,,Aarrgh!,,,
Integrated,ZagreusField_,0074,ZagreusField_0074,,,,"No, no!",,,
Integrated,ZagreusField_,0075,ZagreusField_0075,,,,"Ah, damn it! ",,,
Integrated,ZagreusField_,0076,ZagreusField_0076,,,,"Why, you...!",,,
Integrated,ZagreusField_,0077,ZagreusField_0077,,,,"Unh, no! ",,,
Integrated,ZagreusField_,0078,ZagreusField_0078,,,,"Wha, how?",,,
Integrated,ZagreusField_,0079,ZagreusField_0079,,,,Unnggh!,,,
Integrated,ZagreusField_,0080,ZagreusField_0080,,,,"No, wait...!",,,
Integrated,ZagreusField_,0081,ZagreusField_0081,,,,I'm out.,,,
Integrated,ZagreusField_,0082,ZagreusField_0082,,,,I'm out!,,,
Integrated,ZagreusField_,0083,ZagreusField_0083,,,,I can't.,,,
Integrated,ZagreusField_,0084,ZagreusField_0084,,,,I can't!,,,
Integrated,ZagreusField_,0085,ZagreusField_0085,,,,I'm empty.,,,
Integrated,ZagreusField_,0086,ZagreusField_0086,,,,I'm empty!,,,
Integrated,ZagreusField_,0087,ZagreusField_0087,,,,Can't do that.,,,
Integrated,ZagreusField_,0088,ZagreusField_0088,,,,Can't do that!,,,
Integrated,ZagreusField_,0089,ZagreusField_0089,,,,Not now.,,,
