ZagreusScratch,ID,ID,ID,,,,Line
Integrated,ZagreusScratch_,0002,ZagreusScratch_0002b,,,,"Shut up, old man."
Integrated,ZagreusScratch_,0003,ZagreusScratch_0003,,,,"Wait for me, Mother. I'll be there soon."
Integrated,ZagreusScratch_,0004,ZagreusScratch_0004,,,,To hell with this place.
Integrated,ZagreusScratch_,0005,ZagreusScratch_0005,,,,I'm leaving. Try and stop me.
Integrated,ZagreusScratch_,0006,ZagreusScratch_0006,,,,Ah-hah.
Integrated,ZagreusScratch_,0007,ZagreusScratch_0007,,,,Thank the gods.
Integrated,ZagreusScratch_,0008,ZagreusScratch_0008,,,,"Thank you, Goddess. Your power fused with mine... this should be good."
Integrated,ZagreusScratch_,0009,ZagreusScratch_0009b,,,,No...!
Integrated,ZagreusScratch_,0010,ZagreusScratch_0010b,,,,Urrggh... damn it.
Integrated,ZagreusScratch_,0011,ZagreusScratch_0011b,,,,I'm home...
Integrated,ZagreusScratch_,0012,ZagreusScratch_0012b,,,,"Aha, yes, carry on, everyone, don't mind me...!"
Integrated,ZagreusScratch_,0016,ZagreusScratch_0016a,,,,"I'll keep that in mind, mate."
Integrated,ZagreusScratch_,0020,ZagreusScratch_0020,,,,Nothing for me here. I should go.
Integrated,ZagreusScratch_,0021,ZagreusScratch_0021a,,,,"Well, time to go get killed again."
Integrated,ZagreusScratch_,0022,ZagreusScratch_0021b,,,,"Well, time to go get killed again."
Integrated,ZagreusScratch_,0023,ZagreusScratch_0023,,,,Nothing for me here.
Integrated,ZagreusScratch_,0024,ZagreusScratch_0024,,,,I should go.
Integrated,ZagreusScratch_,0079,ZagreusScratch_0008ALT,,,,"Thank you, Goddess."
